nid,vid,title
421746,422134,"81 (<15): Calcium Ion Binding Protein"
421749,422137,"81 (<150): Calcium Ion Binding Protein"
426364,426752,"82 (<15): Cytotoxin"
426366,426754,"82 (<150): Cytotoxin"
426368,426756,"82: Cytotoxin"
431243,431631,"TEST: 2 Sidechains Noted (No Cnstr)"
432014,432402,"TEST: 2 Sidechains Noted (Native)"
432419,432807,"83: Cardiotoxin"
432421,432809,"83 (<15): Cardiotoxin"
432422,432810,"83 (<150): Cardiotoxin"
438087,438475,"84: Giant Anemone"
438088,438476,"84 (<15): Giant Anemone"
438089,438477,"84 (<150): Giant Anemone"
441733,442121,"85: Cell Adhesion Protein"
441734,442122,"85 (<15): Cell Adhesion Protein"
441735,442123,"85 (<150): Cell Adhesion Protein"
442342,442730,"TEST: SC 1cc8"
442369,442757,"TEST: SC 1b3a"
446079,446467,"86: Nematode"
446081,446469,"86 (<15): Nematode"
446082,446470,"86 (<150): Nematode"
451446,451834,"87: Zinc Binding Protein"
451448,451836,"87 (<15): Zinc Binding Protein"
451449,451837,"87 (<150): Zinc Binding Protein"
457116,457504,"88: Monocyte"
457117,457505,"88 (<15): Monocyte"
457118,457506,"88 (<150): Monocyte"
461249,461638,"89: Cow Eye"
461250,461639,"89 (<15): Cow Eye"
461251,461640,"89 (<150): Cow Eye"
468278,468667,"90: Heliomicin"
468279,468668,"90 (<15): Heliomicin"
468280,468669,"90 (<150): Heliomicin"
472723,473112,"91: Viral Protein"
472724,473113,"91 (<15): Viral Protein"
472725,473114,"91 (<150): Viral Protein"
477088,477477,"92: Bacteria"
477089,477478,"92 (<15): Bacteria"
477090,477479,"92 (<150): Bacteria"
483428,483817,"93: Spider Toxin"
483429,483818,"93 (<15): Spider Toxin"
483430,483819,"93 (<150): Spider Toxin"
489637,490026,"94: Mouse"
489638,490027,"94 (<15): Mouse"
489639,490028,"94 (<150): Mouse"
495768,496156,"95: Chicken"
495769,496157,"95 (<15): Chicken"
495770,496158,"95 (<150): Chicken"
503397,503787,"96: Collagen"
503399,503789,"96 (<15): Collagen"
503400,503790,"96 (<150): Collagen"
508453,508843,"97: Pig"
508454,508844,"97 (<15): Pig"
508455,508845,"97 (<150): Pig"
521219,521609,"98: Something Out of Place"
521271,521661,"98 (<15): Something Out of Place"
521272,521662,"98 (<150): Something Out of Place"
525732,526122,"99: Something Out of Place 2"
525733,526123,"99 (<15): Something Out of Place 2"
525734,526124,"99 (<150): Something Out of Place 2"
531241,531631,"100: Something Out of Place 3"
531242,531632,"100 (<15): Something Out of Place 3"
531243,531633,"100 (<150): Something Out of Place 3"
537708,538098,"101: Some Things Out of Place"
537709,538099,"101 (<15): Some Things Out of Place"
537710,538100,"101 (<150): Some Things Out of Place"
541554,541944,"102: Many Things Out of Place"
541555,541945,"102 (<15): Many Things Out of Place"
541556,541946,"102 (<150): Many Things Out of Place"
545657,546047,"103: Challenge Puzzle"
545658,546048,"103 (<15): Challenge Puzzle"
545659,546049,"103 (<150): Challenge Puzzle"
552565,552955,"104: Helices Out of Place"
552570,552960,"104 (<15): Helices Out of Place"
552575,552965,"104 (<150): Helices Out of Place"
563187,563577,"105: Loop Out of Place"
563188,563578,"105 (<15): Loop Out of Place"
563189,563579,"105 (<150): Loop Out of Place"
569323,569713,"106: Challenge Puzzle Two"
569324,569714,"106 (<15): Challenge Puzzle Two"
569325,569715,"106 (<150): Challenge Puzzle Two"
576368,576758,"107: Lots of Things Out of Place"
576369,576759,"107 (<15): Lots of Things Out of Place"
576370,576760,"107 (<150): Lots of Things Out of Place"
589359,589749,"108: Tricky Challenge Puzzle"
589361,589751,"108 (<15): Tricky Challenge Puzzle"
589363,589753,"108 (<150): Tricky Challenge Puzzle"
596679,597069,"109: Pumpkin"
596680,597070,"109 (<15): Pumpkin"
596681,597071,"109 (<150): Pumpkin"
600403,600793,"BETA Test Puzzle 1"
602950,603340,"110: Turkey"
602952,603342,"110 (<15): Turkey"
602953,603343,"110 (<150): Turkey"
624775,625165,"111: Mouse"
624776,625166,"111 (<15): Mouse"
624778,625168,"111 (<150): Mouse"
633057,633447,"112: Bovine"
633058,633448,"112 (<15): Bovine"
633059,633449,"112 (<150): Bovine"
641635,642025,"113: White Birch"
641636,642026,"113 (<15): White Birch"
641637,642027,"113 (<150): White Birch"
676758,677148,"114: Black Mamba"
676759,677149,"114 (<15): Black Mamba"
676760,677150,"114 (<150): Black Mamba"
697347,697737,"115: Exocyst Complex"
697348,697738,"115 (<15): Exocyst Complex"
697352,697742,"115 (<150): Exocyst Complex"
738597,738987,"116: Grand Challenge 1"
738598,738988,"116 (<15): Grand Challenge 1"
738599,738989,"116  (<150): Grand Challenge 1"
766161,766551,"117: Transport Mutant"
766163,766553,"117 (<15): Transport Mutant"
766165,766555,"117 (<150): Transport Mutant"
792895,793285,"118: Grand Challenge 2"
792896,793286,"118 (<15): Grand Challenge 2"
792897,793287,"118 (<150): Grand Challenge 2"
817393,817783,"119: Grand Challenge 3"
817394,817784,"119 (<15): Grand Challenge 3"
817395,817785,"119 (<150): Grand Challenge 3"
836832,837222,"120: Grand Challenge 4"
836833,837223,"120 (<15): Grand Challenge 4"
836834,837224,"120 (<150): Grand Challenge 4"
844469,844859,"Test Server 0000000001"
844474,844864,"Test Server 0000000002"
844475,844865,"Test Server 0000000003"
857597,857987,"121: Grand Challenge 5"
857612,858002,"121 (<15): Grand Challenge 5"
857626,858016,"121 (<150): Grand Challenge 5"
885503,885893,"122: Grand Challenge 6"
885511,885901,"122 (<15): Grand Challenge 6"
885523,885913,"122 (<150): Grand Challenge 6"
891977,892367,"123: Grand Challenge 7"
891982,892372,"123 (<15): Grand Challenge 7"
891983,892373,"123 (<150): Grand Challenge 7"
898974,899364,"DEVPREV Disulfide/Histidine"
903176,903566,"Kuhlman Class Puzzle 1"
903186,903576,"Kuhlman Class Puzzle 2"
928207,928597,"124: PDZ Domain Protein"
928210,928600,"124 (<15): PDZ Domain Protein"
928211,928601,"124 (<150): PDZ Domain Protein"
952673,953063,"TEST All Hands"
960281,960671,"125: Ice Binding"
960285,960675,"125 (<15): Ice Binding"
960286,960676,"125 (<150): Ice Binding"
985080,985470,"All Hands Challenge"
985082,985472,"126: Ethanolamine Utilization Puzzle"
985083,985473,"126 (<15): Ethanolamine Utilization Puzzle"
985084,985474,"126 (<150): Ethanolamine Utilization Puzzle"
985179,985569,"Zip Test"
985211,985601,"Test Server 0000000004"
985235,985625,"Design Test"
985652,986042,"127: Grand Challenge 8"
985653,986043,"127 (<15): Grand Challenge 8"
985654,986044,"127 (<150): Grand Challenge 8"
985685,986075,"128: Grand Challenge 9"
985686,986076,"128 (<15): Grand Challenge 9"
985687,986077,"128 (<150): Grand Challenge 9"
985717,986107,"129: Grand Challenge 10"
985718,986108,"129 (<15): Grand Challenge 10"
985719,986109,"129 (<150): Grand Challenge 10"
985735,986125,"130: Grand Challenge 11"
985736,986126,"130 (<15): Grand Challenge 11"
985737,986127,"130 (<150): Grand Challenge 11"
985767,986157,"131: Grand Challenge 12"
985768,986158,"131 (<15): Grand Challenge 12"
985769,986159,"131 (<150): Grand Challenge 12"
985794,986184,"132: Grand Challenge 10b"
985795,986185,"132 (<15): Grand Challenge 10b"
985796,986186,"132 (<150): Grand Challenge 10b"
985806,986196,"133: Grand Challenge 11b"
985807,986197,"133 (<15): Grand Challenge 11b"
985808,986198,"133 (<150): Grand Challenge 11b"
985850,986240,"134: Rice"
985851,986241,"134 (<15): Rice"
985852,986242,"134 (<150): Rice"
985854,986244,"Oracle Test, Don't Play Please"
985875,986265,"135: E-Coli"
985876,986266,"135 (<15): E-Coli"
985877,986267,"135 (<150): E-Coli"
985906,986296,"136: Cell Adhesion"
985907,986297,"136 (<15): Cell Adhesion"
985908,986298,"136 (<150): Cell Adhesion"
985933,986323,"137: Rosetta Decoy"
985934,986324,"137 (<15): Rosetta Decoy"
985935,986325,"137 (<150): Rosetta Decoy"
985952,986342,"138: Rosetta Decoy 2"
985953,986343,"138 (<15): Rosetta Decoy 2"
985954,986344,"138 (<150): Rosetta Decoy 2"
985957,986347,"New Tether Test"
985988,986378,"139: Rosetta Decoy 3"
985989,986379,"139 (<15): Rosetta Decoy 3"
985990,986380,"139 (<150): Rosetta Decoy 3"
985997,986387,"Clone of New Tether Test"
985999,986389,"Beginner Puzzle 1 (<15): Mouse"
986000,986390,"Beginner Puzzle 1 (<150): Mouse"
986001,986391,"140: Rosetta Decoy 4"
986002,986392,"140 (<15): Rosetta Decoy 4"
986003,986393,"140 (<150): Rosetta Decoy 4"
986018,986408,"All Hands Only Puzzle"
986025,986415,"Garfield High School Protein (<15)"
986043,986433,"Garfield High School Protein 2 (<101)"
986044,986434,"141: Rosetta Decoy 5"
986045,986435,"141 (<15): Rosetta Decoy 5"
986046,986436,"141 (<150): Rosetta Decoy 5"
986048,986438,"Design Test 2"
986052,986442,"142: Rosetta Decoy 6"
986053,986443,"142 (<15): Rosetta Decoy 6"
986054,986444,"142 (<150): Rosetta Decoy 6"
986072,986462,"143: Rosetta Decoy 7"
986073,986463,"143 (<15): Rosetta Decoy 7"
986074,986464,"143 (<150): Rosetta Decoy 7"
986085,986475,"144: Rosetta Decoy 8"
986086,986476,"144 (<15): Rosetta Decoy 8"
986087,986477,"144 (<150): Rosetta Decoy 8"
986088,986478,"Beginner Puzzle 2: E-Coli"
986089,986479,"Beginner Puzzle 2 (<100): E-Coli"
986110,986500,"145: Quest to the Native 1"
986111,986501,"145 (<15): Quest to the Native 1"
986112,986502,"145 (<150): Quest to the Native 1"
986127,986517,"146: Rosetta Decoy 9"
986128,986518,"146 (<15): Rosetta Decoy 9"
986129,986519,"146 (<150): Rosetta Decoy 9"
986135,986525,"147: Rosetta Decoy 10"
986136,986526,"147 (<15): Rosetta Decoy 10"
986137,986527,"147 (<150): Rosetta Decoy 10"
986148,986538,"148: Rosetta Decoy 11"
986149,986539,"148 (<15): Rosetta Decoy 11"
986150,986540,"148 (<150): Rosetta Decoy 11"
986152,986542,"DEVPREV Prediction Test"
986153,986543,"DEVPREV Design Test"
986163,986553,"149: Quest to the Native 2"
986164,986554,"149 (<15): Quest to the Native 2"
986165,986555,"149 (<150): Quest to the Native 2"
986180,986570,"150: Rosetta Decoy 12"
986181,986571,"150 (<15): Rosetta Decoy 12"
986182,986572,"150 (<150): Rosetta Decoy 12"
986201,986591,"Encryption Test 2"
986202,986592,"151: Design Challenge"
986203,986593,"151 (<15): Design Challenge"
986204,986594,"151 (<150): Design Challenge"
986210,986600,"Encryption Test 3"
986211,986601,"Encryption Test 4"
986215,986605,"152: Quest to the Native 3"
986216,986606,"152 (<15): Quest to the Native 3"
986217,986607,"152 (<150): Quest to the Native 3"
986227,986617,"153: Rosetta Decoy 13"
986228,986618,"153 (<15): Rosetta Decoy 13"
986229,986619,"153 (<150): Rosetta Decoy 13"
986235,986625,"154: Design Challenge 2"
986236,986626,"154 (<15): Design Challenge 2"
986237,986627,"154 (<150): Design Challenge 2"
986269,986659,"155: Quest to the Native 4"
986270,986660,"155 (<15): Quest to the Native 4"
986271,986661,"155 (<150): Quest to the Native 4"
986272,986662,"156: Rosetta Decoy 2 Refinement"
986273,986663,"156 (<15): Rosetta Decoy 2 Refinement"
986274,986664,"156 (<150): Rosetta Decoy 2 Refinement"
986298,986688,"157: Rosetta Decoy 14"
986299,986689,"157 (<15): Rosetta Decoy 14"
986300,986690,"157 (<150): Rosetta Decoy 14"
986307,986697,"158: Design Challenge 3"
986308,986698,"158 (<15): Design Challenge 3"
986309,986699,"158 (<150): Design Challenge 3"
986310,986700,"159: Quest to the Native 5"
986311,986701,"159 (<15): Quest to the Native 5"
986312,986702,"159 (<150): Quest to the Native 5"
986317,986707,"TEST Helix Maker"
986324,986714,"TEST DNA/Protein"
986325,986715,"TEST RNA"
986326,986716,"DEVPREV Docking"
986328,986718,"TEST Protein-Protein Interface"
986330,986720,"TEST Ligand Multiobjective"
986331,986721,"ENZDES : Competition 1"
986340,986730,"160: Rosetta Decoy 12 Refinement"
986341,986731,"160 (<15): Rosetta Decoy 12 Refinement"
986342,986732,"160 (<150): Rosetta Decoy 12 Refinement"
986345,986735,"161: Quest to the Native 6"
986346,986736,"161 (<15): Quest to the Native 6"
986347,986737,"161 (<150): Quest to the Native 6"
986427,986817,"162: Rosetta Decoy 10 Refinement"
986428,986818,"162 (<15): Rosetta Decoy 10 Refinement"
986429,986819,"162 (<150): Rosetta Decoy 10 Refinement"
986432,986822,"163: Protein Interface Design"
986433,986823,"DEVPREV Conditions"
986435,986825,"Enzyme Design Challenge 1"
986445,986835,"164: Quest to the Native 7"
986446,986836,"164 (<15): Quest to the Native 7"
986447,986837,"164 (<150): Quest to the Native 7"
986452,986842,"165: Rosetta Decoy 15"
986453,986843,"165 (<15): Rosetta Decoy 15"
986454,986844,"165 (<150): Rosetta Decoy 15"
986458,986848,"166: Quest to the Native 8"
986459,986849,"166 (<15): Quest to the Native 8"
986460,986850,"166 (<150): Quest to the Native 8"
986461,986851,"TEST Rounding Off"
986462,986852,"TEST Tool Mod"
986468,986858,"167: Flu Virus Design"
986474,986864,"168: Core Design"
986494,986906,"169: Quick Puzzle 1"
986497,986910,"TEST Constraints"
986504,986924,"170: All-Hands of Rosetta Decoy 2"
986515,986940,"171: Quick Puzzle 1b"
986516,986941,"172: Folding for renewable energy"
986520,986967,"iGEM Biotin Puzzle (1a53)"
986522,986969,"iGEM Biotin Puzzle (1e4i)   "
986523,986970,"iGEM Biotin Puzzle (1i4n)   "
986524,986971,"iGEM Biotin Puzzle (1lbf)   "
986525,986972,"iGEM Biotin Puzzle (1vp8)  "
986526,986973,"iGEM Biotin Puzzle (1xpc)   "
986536,986986,"Enzyme Design Challenge 1: Ligand Name Check"
986550,987010,"173: Quick Puzzle 2"
986567,987031,"174: More Core Design"
986568,987032,"178: Core and Tail Design"
986571,987035,"183: Protein-Protein Design"
986572,987036,"175: More Interface Design"
986597,987062,"176: Quest to the Native 9"
986598,987063,"176 (<15): Quest to the Native 9"
986599,987064,"176 (<150): Quest to the Native 9"
986603,987072,"TEST Ligand Multiobjective"
986605,987075,"U-Dubavin: Scaffold 1a53"
986606,987076,"U-Dubavin: Scaffold 1dc9"
986607,987077,"U-Dubavin: Scaffold 1e4i"
986608,987078,"U-Dubavin: Scaffold 1i4n"
986610,987080,"U-Dubavin: Scaffold 1tuv"
986611,987081,"U-Dubavin: Scaffold 1vp8"
986620,987092,"177: Freestyle Design 80"
986625,987104,"179: Mini-CASP 1a"
986628,987107,"180: Mini-CASP 1b"
986629,987108,"181: Mini-CASP 1c"
986633,987112,"182: Mini-CASP 1-All Hands"
986653,987132,"Repost of CASP8 T0492 Start 2"
986655,987134,"184: Freestyle Prediction 60"
986656,987135,"185: Freestyle Design 60"
986666,987146,"(<150) Beginner Puzzle 3:  Proteinase Inhibitor"
986667,987147,"186: Mini-CASP 2-Freestyle"
986677,987167,"187: More Core Design"
986678,987169,"(<150) Beginner Puzzle 4: Antibacterial Protein"
986679,987170,"188: Mini-CASP 2a"
986680,987171,"189: Mini-CASP 2b"
986681,987172,"190: Mini-CASP 2c"
986691,987185,"TEST Multiple Starts"
986698,987193,"191: Mini-CASP 2-All Hands"
986712,987208,"192: Cover the Ligand"
986732,987231,"193: Multi-start Refinement"
986733,987232,"193 (<15): Multi-start Refinement"
986734,987233,"193 (<150): Multi-start Refinement"
986737,987236,"(<150) Beginner Puzzle 5: Translation Protein"
986792,987305,"196: Exploration Puzzle 1"
986802,987320,"Beginner Puzzle 6 (<150): Scorpion Toxin"
986803,987321,"Beginner Puzzle 7 (<150): Triple Strand"
986812,987335,"197: Mini-CASP 3-Freestyle"
986820,987354,"198: Quest to the Native 10: Mini-CASP 2"
986821,987355,"198 (<15): Quest to the Native 10: Mini-CASP 2"
986822,987356,"198 (<150): Quest to the Native 10: Mini-CASP 2"
986824,987358,"199: Mini-CASP 3"
986825,987359,"200: Mini-CASP 4-Freestyle"
986827,987364,"203: Interfacing"
986836,987377,"201: Mini-CASP4"
986837,987378,"202: Quest to the Native 11: Mini-CASP 1"
986838,987379,"202 (<15): Quest to the Native 11: Mini-CASP 1"
986839,987380,"202 (<150): Quest to the Native 11: Mini-CASP 1"
986844,987385,"204: Mini-CASP 5-Freestyle"
986850,987391,"Beginner Puzzle 9 (<150): Bovine"
986851,987392,"Beginner Puzzle 8 (<150): Fruit Fly"
986865,987410,"205: Quest to the Native 12: Mini-CASP 4"
986866,987411,"205 (<15): Quest to the Native 12: Mini-CASP 4"
986867,987412,"205 (<150): Quest to the Native 12: Mini-CASP 4"
986870,987415,"206: Mini-CASP 6-Freestyle"
986875,987420,"207: Mini-CASP 7"
986877,987425,"208: Finding Home"
986885,987436,"DEVPREV Alignment Multiple "
986889,987440,"UPCOMING: Jeff's Puzzle"
986894,987447,"209: Mini-CASP 5 - Multi-start Refinement"
986895,987448,"209 (<15): Mini-CASP 5 - Multi-start Refinement"
986896,987449,"209 (<150): Mini-CASP 5 - Multi-start Refinement"
986904,987458,"210: Hold Me Tightly"
986916,987473,"UPCOMING Jeff's Puzzle 2A"
986917,987474,"UPCOMING Jeff's Puzzle 2B"
986928,987485,"211: Mini-CASP 6 - Multi-start"
986929,987486,"211 (<15): Mini-CASP 6 - Multi-start"
986930,987487,"211 (<150): Mini-CASP 6 - Multi-start"
986931,987488,"212: Mini-CASP 8-Freestyle"
986941,987499,"213: Hold Me Tighter"
986950,987508,"214: Mini-CASP 6 - Refinement Multi-start"
986951,987509,"214: Mini-CASP 6 - Refinement Multi-start (<15)"
986952,987510,"214: Mini-CASP 6 - Refinement Multi-start (<150)"
986958,987516,"UPCOMING: Beta Fold"
986960,987518,"228: Pack the Holes 2"
986961,987519,"215: Quick Mini-CASP 6 Puzzle"
986962,987520,"221: Pack the Holes 1"
986964,987522,"Beginner Puzzle 10: Ocean Pout"
986966,987524,"Beginner Puzzle 11: Pig"
986967,987525,"218: Mini-CASP 8"
986968,987526,"218 (<15): Mini-CASP 8"
986969,987527,"218 (<150): Mini-CASP 8"
